post_id,timestamp,date,hour,weekday,weekday_num,platform,content_type,category,hashtags,followers,likes,comments,shares,saves,clicks,reach,total_engagement,engagement_rate,is_anomaly,anomaly_factor
POST_01059,2025-10-11 03:53:15.677712,2025-10-11,3,Saturday,5,YouTube,Text,Finance,#StockMarket,34831,415,2219,392,42,2531,33130,3068,9.2605,normal,1.0
POST_01246,2025-10-11 06:59:58.677712,2025-10-11,6,Saturday,5,LinkedIn,Text,Health,#MentalHealth|#Fitness|#Wellness|#Yoga,13521,224,1394,451,30,509,7075,2099,29.6678,normal,1.0
POST_00528,2025-10-11 08:41:47.677712,2025-10-11,8,Saturday,5,YouTube,Video,Education,#StudyTips,24188,2516,1443,2673,130,3987,65457,6762,10.3304,normal,1.0
POST_01339,2025-10-11 10:03:01.677712,2025-10-11,10,Saturday,5,TikTok,Reel/Short,Health,#Nutrition|#Wellness,15680,2003,589,1776,406,2102,20217,4774,23.6138,normal,1.0
POST_00400,2025-10-11 11:53:27.677712,2025-10-11,11,Saturday,5,YouTube,Video,Entertainment,#Fun|#Entertainment|#Viral|#MustWatch,4641,212,294,182,38,441,5829,726,12.455,normal,1.0
POST_01544,2025-10-11 12:07:18.677712,2025-10-11,12,Saturday,5,LinkedIn,Image,Health,#MentalHealth|#Nutrition,99817,7736,5609,5199,1194,6249,107757,19738,18.3171,normal,1.0
POST_01655,2025-10-11 14:03:49.677712,2025-10-11,14,Saturday,5,Twitter,Reel/Short,Sports,#Cricket,7572,450,284,3330,35,323,6168,4099,66.4559,normal,1.0
POST_00892,2025-10-11 22:30:52.677712,2025-10-11,22,Saturday,5,LinkedIn,Reel/Short,Travel,#Backpacking|#Travel|#Adventure,17478,491,629,2597,26,478,17096,3743,21.894,normal,1.0
POST_01309,2025-10-12 00:43:31.677712,2025-10-12,0,Sunday,6,Instagram,Image,Travel,#Backpacking|#Travel|#Explore|#Adventure,17011,709,198,148,165,835,7738,1220,15.7663,normal,1.0
POST_00598,2025-10-12 03:39:04.677712,2025-10-12,3,Sunday,6,LinkedIn,Video,Fashion,#Style|#Fashion|#Trendy|#OOTD,4803,102,77,315,6,176,1534,500,32.5945,normal,1.0
POST_00726,2025-10-12 11:51:05.677712,2025-10-12,11,Sunday,6,YouTube,Video,Health,#Nutrition|#MentalHealth|#Wellness|#Yoga,28939,1574,2505,1059,168,2783,63380,5306,8.3717,normal,1.0
POST_01941,2025-10-12 12:50:49.677712,2025-10-12,12,Sunday,6,LinkedIn,Video,Lifestyle,#DailyLife|#Goals|#Motivation|#SelfCare,19695,2980,1848,6340,346,2650,40037,11514,28.7584,normal,1.0
POST_01278,2025-10-12 17:58:24.677712,2025-10-12,17,Sunday,6,YouTube,Image,Tech,#OpenSource|#MachineLearning|#AI,4997,310,258,78,26,465,5814,672,11.5583,normal,1.0
POST_00914,2025-10-12 19:44:37.677712,2025-10-12,19,Sunday,6,Instagram,Text,Tech,#OpenSource|#DevOps|#AI,18047,946,900,286,113,892,23548,2245,9.5337,normal,1.0
POST_01326,2025-10-12 20:43:54.677712,2025-10-12,20,Sunday,6,LinkedIn,Image,Health,#Wellness|#MentalHealth|#Yoga|#Fitness,19615,616,1119,400,37,2695,22888,2172,9.4897,normal,1.0
POST_00616,2025-10-12 21:56:47.677712,2025-10-12,21,Sunday,6,YouTube,Image,Sports,#FitLife,32118,3205,3763,4151,517,15604,165542,11636,7.029,normal,1.0
POST_01675,2025-10-12 23:41:50.677712,2025-10-12,23,Sunday,6,YouTube,Image,Food,#Cooking,13671,658,1059,328,137,1215,26616,2182,8.1981,normal,1.0
POST_01126,2025-10-13 03:43:24.677712,2025-10-13,3,Monday,0,LinkedIn,Text,Health,#Wellness|#Fitness,4536,24,156,18,1,37,857,199,23.2205,normal,1.0
POST_00288,2025-10-13 07:29:00.677712,2025-10-13,7,Monday,0,YouTube,Text,Travel,#Adventure|#Wanderlust,7520,110,786,164,18,1411,13667,1078,7.8876,normal,1.0
POST_00701,2025-10-13 11:40:05.677712,2025-10-13,11,Monday,0,YouTube,Image,Health,#Yoga|#Wellness,3853,173,121,74,19,442,5880,387,6.5816,normal,1.0
POST_01121,2025-10-13 16:11:46.677712,2025-10-13,16,Monday,0,Twitter,Text,Entertainment,#MustWatch|#Entertainment|#Trending|#Fun,21376,179,1454,264,42,1013,9128,1939,21.2423,normal,1.0
POST_01057,2025-10-13 17:26:30.677712,2025-10-13,17,Monday,0,TikTok,Image,Tech,#Python|#CloudComputing,26206,950,1110,577,134,2593,33706,2771,8.2211,normal,1.0
POST_01733,2025-10-13 17:38:40.677712,2025-10-13,17,Monday,0,YouTube,Image,Health,#Yoga|#Fitness|#Nutrition,6625,197,435,38,42,853,8646,712,8.235,normal,1.0
POST_01344,2025-10-13 19:43:58.677712,2025-10-13,19,Monday,0,TikTok,Reel/Short,Health,#MentalHealth|#Nutrition|#Wellness|#Yoga,49088,5031,1914,3551,330,7211,114932,10826,9.4195,normal,1.0
POST_00761,2025-10-13 20:21:52.677712,2025-10-13,20,Monday,0,LinkedIn,Carousel,Sports,#Cricket|#FitLife,2791,106,282,272,20,209,3041,680,22.3611,normal,1.0
POST_00648,2025-10-13 23:50:06.677712,2025-10-13,23,Monday,0,Twitter,Image,Education,#StudyTips|#Learning,88298,1843,3571,1821,335,8118,73582,7570,10.2878,normal,1.0
POST_01534,2025-10-14 02:35:40.677712,2025-10-14,2,Tuesday,1,TikTok,Carousel,Education,#OnlineCourse|#Learning,5745,119,58,94,10,118,3580,281,7.8492,normal,1.0
POST_00898,2025-10-14 05:40:51.677712,2025-10-14,5,Tuesday,1,TikTok,Image,Tech,#CloudComputing|#DevOps,5368,176,100,108,22,238,5788,406,7.0145,normal,1.0
POST_01698,2025-10-14 06:45:27.677712,2025-10-14,6,Tuesday,1,Twitter,Image,Education,#Skills|#OnlineCourse|#Learning|#StudyTips,15604,383,589,407,69,879,11591,1448,12.4925,normal,1.0
POST_01738,2025-10-14 08:12:56.677712,2025-10-14,8,Tuesday,1,Twitter,Video,Tech,#DevOps|#AI|#DataScience,2713,159,114,299,31,218,3211,603,18.7792,normal,1.0
POST_00913,2025-10-14 13:26:11.677712,2025-10-14,13,Tuesday,1,TikTok,Video,Food,#Foodie|#Cooking|#Recipe|#Delicious,8743,1004,550,854,173,2047,20385,2581,12.6613,normal,1.0
POST_01324,2025-10-14 14:54:30.677712,2025-10-14,14,Tuesday,1,TikTok,Image,Sports,#Football|#NBA|#FitLife,4938,461,133,162,31,703,13564,787,5.8021,normal,1.0
POST_01668,2025-10-14 16:21:39.677712,2025-10-14,16,Tuesday,1,TikTok,Text,Finance,#Investing|#Crypto,27400,1193,838,1988,135,2900,46462,4154,8.9406,normal,1.0
POST_01517,2025-10-14 17:32:52.677712,2025-10-14,17,Tuesday,1,Twitter,Text,Sports,#NBA|#Football|#FitLife,11034,320,505,176,64,912,9271,1065,11.4874,normal,1.0
POST_00884,2025-10-14 22:26:49.677712,2025-10-14,22,Tuesday,1,LinkedIn,Reel/Short,Lifestyle,#Goals|#DailyLife,4795,191,218,287,13,183,2092,709,33.891,normal,1.0
POST_01711,2025-10-14 22:41:22.677712,2025-10-14,22,Tuesday,1,TikTok,Image,Sports,#Cricket|#Athletics,6744,485,131,221,52,929,16860,889,5.2728,normal,1.0
POST_01523,2025-10-15 00:52:18.677712,2025-10-15,0,Wednesday,2,TikTok,Carousel,Lifestyle,#DailyLife|#Motivation|#Mindfulness|#SelfCare,6147,133,46,146,27,309,4698,352,7.4926,normal,1.0
POST_01160,2025-10-15 01:36:53.677712,2025-10-15,1,Wednesday,2,Twitter,Video,Fashion,#OOTD|#Fashion|#Style|#StreetStyle,10998,237,226,310,25,265,5002,798,15.9536,normal,1.0
POST_01939,2025-10-15 03:56:48.677712,2025-10-15,3,Wednesday,2,Instagram,Text,Tech,#AI|#DevOps|#MachineLearning|#DataScience,135508,813,14977,1306,158,4174,68481,17254,25.1953,normal,1.0
POST_00999,2025-10-15 05:15:28.677712,2025-10-15,5,Wednesday,2,Instagram,Video,Education,#StudyTips|#OnlineCourse,83616,1932,1230,1152,411,2969,30396,4725,15.5448,normal,1.0
POST_01074,2025-10-15 05:19:16.677712,2025-10-15,5,Wednesday,2,LinkedIn,Text,Entertainment,#Viral|#MustWatch|#Entertainment|#Fun,14412,79,230,247,7,361,6896,563,8.1642,normal,1.0
POST_00391,2025-10-15 07:16:29.677712,2025-10-15,7,Wednesday,2,TikTok,Video,Food,#Delicious|#Foodie|#Cooking|#Vegan,7319,381,257,309,70,905,19234,1017,5.2875,normal,1.0
POST_01318,2025-10-15 09:29:07.677712,2025-10-15,9,Wednesday,2,TikTok,Video,Food,#Foodie|#Vegan|#Delicious|#Recipe,1360,146,93,309,24,384,3249,572,17.6054,normal,1.0
POST_01138,2025-10-15 09:56:03.677712,2025-10-15,9,Wednesday,2,YouTube,Video,Tech,#AI,9492,344,482,253,56,858,20352,1135,5.5768,normal,1.0
POST_01938,2025-10-15 10:56:47.677712,2025-10-15,10,Wednesday,2,YouTube,Video,Finance,#Crypto|#Wealth|#FinancialFreedom|#StockMarket,12857,858,461,693,84,1863,18706,2096,11.205,normal,1.0
POST_00855,2025-10-15 12:16:11.677712,2025-10-15,12,Wednesday,2,Instagram,Reel/Short,Lifestyle,#Mindfulness|#Goals|#DailyLife,9344,1550,193,818,319,1788,18714,2880,15.3895,normal,1.0
POST_00402,2025-10-15 15:03:00.677712,2025-10-15,15,Wednesday,2,Twitter,Text,Tech,#MachineLearning|#CloudComputing|#Python,4449,86,315,136,13,126,4448,550,12.3651,normal,1.0
POST_01589,2025-10-15 15:15:18.677712,2025-10-15,15,Wednesday,2,Twitter,Carousel,Travel,#Wanderlust|#Travel|#Adventure,12258,246,206,447,16,744,14090,915,6.494,normal,1.0
POST_01686,2025-10-15 16:25:58.677712,2025-10-15,16,Wednesday,2,Twitter,Text,Tech,#MachineLearning|#CloudComputing|#AI,10987,1134,3732,4063,10,357,16328,8939,54.7464,spike,14.4
POST_01255,2025-10-15 20:38:07.677712,2025-10-15,20,Wednesday,2,TikTok,Reel/Short,Tech,#MachineLearning|#AI,41261,7061,4355,5590,1175,12302,115310,18181,15.7671,normal,1.0
POST_01688,2025-10-15 23:09:13.677712,2025-10-15,23,Wednesday,2,Twitter,Reel/Short,Lifestyle,#Motivation,35666,990,1700,2229,221,1275,25440,5140,20.2044,normal,1.0
POST_00348,2025-10-16 04:51:32.677712,2025-10-16,4,Thursday,3,Instagram,Image,Tech,#MachineLearning|#DevOps|#OpenSource|#AI,9976,225,338,235,21,1026,13636,819,6.0062,normal,1.0
POST_01868,2025-10-16 13:48:39.677712,2025-10-16,13,Thursday,3,Twitter,Video,Sports,#Cricket|#Football|#Athletics,5584,401,671,327,82,631,8079,1481,18.3315,normal,1.0
POST_00820,2025-10-16 14:15:20.677712,2025-10-16,14,Thursday,3,Instagram,Text,Health,#MentalHealth|#Fitness|#Wellness,8134,248,627,384,39,812,15508,1298,8.3699,normal,1.0
POST_01025,2025-10-16 14:54:47.677712,2025-10-16,14,Thursday,3,Instagram,Video,Sports,#Football|#Athletics|#FitLife,8821,797,354,403,100,1825,16087,1654,10.2816,normal,1.0
POST_00241,2025-10-16 19:35:09.677712,2025-10-16,19,Thursday,3,LinkedIn,Video,Tech,#AI|#Python,576827,48289,72172,77162,4350,26246,848691,201973,23.7982,normal,1.0
POST_00765,2025-10-16 21:23:35.677712,2025-10-16,21,Thursday,3,TikTok,Reel/Short,Lifestyle,#SelfCare,28875,11163,1624,2095,1369,2869,34122,16251,47.6262,normal,1.0
POST_01782,2025-10-17 01:13:26.677712,2025-10-17,1,Friday,4,LinkedIn,Image,Fashion,#Style|#StreetStyle,65215,415,516,584,48,1175,18306,1563,8.5382,normal,1.0
POST_01244,2025-10-17 01:37:59.677712,2025-10-17,1,Friday,4,TikTok,Video,Health,#Nutrition|#Yoga,4897,147,70,191,24,385,3810,432,11.3386,normal,1.0
POST_01832,2025-10-17 01:39:39.677712,2025-10-17,1,Friday,4,Twitter,Carousel,Lifestyle,#Goals|#DailyLife|#Motivation|#SelfCare,19418,292,539,326,51,343,10064,1208,12.0032,normal,1.0
POST_01826,2025-10-17 08:55:02.677712,2025-10-17,8,Friday,4,Instagram,Reel/Short,Food,#Foodie|#Cooking|#Recipe,44164,8483,1565,499,447,4541,71097,10994,15.4634,normal,1.0
POST_00639,2025-10-17 11:35:56.677712,2025-10-17,11,Friday,4,Twitter,Reel/Short,Entertainment,#MustWatch,3662,200,134,231,30,274,2966,595,20.0607,normal,1.0
POST_01596,2025-10-17 14:05:02.677712,2025-10-17,14,Friday,4,Twitter,Text,Fashion,#OOTD,2672,80,148,83,14,225,3152,325,10.3109,normal,1.0
POST_01415,2025-10-17 14:29:03.677712,2025-10-17,14,Friday,4,TikTok,Video,Entertainment,#Trending|#Fun|#MustWatch|#Viral,19819,1362,927,921,287,3136,36582,3497,9.5593,normal,1.0
POST_00687,2025-10-17 20:11:21.677712,2025-10-17,20,Friday,4,YouTube,Text,Fashion,#Trendy|#Fashion|#Style,23174,483,2540,492,63,1909,48804,3578,7.3314,normal,1.0
POST_00248,2025-10-17 20:37:05.677712,2025-10-17,20,Friday,4,LinkedIn,Carousel,Travel,#Travel|#Backpacking|#Explore,36147,1492,2667,859,181,3646,43007,5199,12.0887,normal,1.0
POST_00811,2025-10-18 03:50:45.677712,2025-10-18,3,Saturday,5,Twitter,Text,Fashion,#Style|#StreetStyle,5351,40,62,67,7,127,2074,176,8.486,normal,1.0
POST_00388,2025-10-18 07:28:01.677712,2025-10-18,7,Saturday,5,Instagram,Image,Health,#Wellness,408,17,5,7,3,25,729,32,4.3896,normal,1.0
POST_00160,2025-10-18 10:33:37.677712,2025-10-18,10,Saturday,5,Instagram,Text,Food,#Foodie,14738,493,880,415,32,885,14678,1820,12.3995,normal,1.0
POST_01934,2025-10-18 10:39:57.677712,2025-10-18,10,Saturday,5,Twitter,Video,Education,#StudyTips,2272,110,176,126,6,206,1952,418,21.4139,normal,1.0
POST_00446,2025-10-18 13:31:06.677712,2025-10-18,13,Saturday,5,YouTube,Text,Travel,#Wanderlust|#Travel,18222,773,2588,719,184,4000,45328,4264,9.407,normal,1.0
POST_01940,2025-10-18 15:55:55.677712,2025-10-18,15,Saturday,5,TikTok,Reel/Short,Fashion,#Style|#OOTD,49976,12786,1243,2242,2895,6360,61836,19166,30.9949,normal,1.0
POST_00585,2025-10-18 15:56:10.677712,2025-10-18,15,Saturday,5,TikTok,Image,Food,#Vegan|#Recipe|#Delicious|#Foodie,4129,125,118,124,29,287,5692,396,6.9571,normal,1.0
POST_01038,2025-10-18 20:44:27.677712,2025-10-18,20,Saturday,5,LinkedIn,Carousel,Travel,#Backpacking|#Travel,2573,114,262,87,27,169,2418,490,20.2647,normal,1.0
POST_01148,2025-10-18 21:40:48.677712,2025-10-18,21,Saturday,5,Instagram,Reel/Short,Finance,#FinancialFreedom,16382,2986,1290,798,208,2769,23481,5282,22.4948,normal,1.0
POST_00555,2025-10-18 22:44:25.677712,2025-10-18,22,Saturday,5,Instagram,Image,Tech,#DataScience,33410,2543,689,1137,181,3790,38651,4550,11.772,normal,1.0
POST_00276,2025-10-19 01:59:32.677712,2025-10-19,1,Sunday,6,Instagram,Text,Food,#Cooking|#Foodie|#Delicious|#Recipe,93027,1134,1484,1260,169,1672,41337,4047,9.7903,normal,1.0
POST_01277,2025-10-19 02:01:22.677712,2025-10-19,2,Sunday,6,YouTube,Video,Entertainment,#Viral|#Fun|#Trending,7412,122,145,84,8,244,4474,359,8.0241,normal,1.0
POST_01734,2025-10-19 04:35:18.677712,2025-10-19,4,Sunday,6,TikTok,Video,Health,#Wellness|#MentalHealth,7778,1010,117,877,130,534,10559,2134,20.2102,normal,1.0
POST_00523,2025-10-19 10:51:07.677712,2025-10-19,10,Sunday,6,LinkedIn,Video,Finance,#FinancialFreedom|#Wealth|#Crypto,40753,923,1236,667,81,1473,28931,2907,10.048,normal,1.0
POST_00108,2025-10-19 14:39:42.677712,2025-10-19,14,Sunday,6,LinkedIn,Reel/Short,Lifestyle,#Mindfulness,10803,429,543,1995,94,520,7486,3061,40.8897,normal,1.0
POST_00337,2025-10-19 15:24:25.677712,2025-10-19,15,Sunday,6,LinkedIn,Reel/Short,Fashion,#OOTD,9358,1172,1192,505,66,438,7034,2935,41.7259,normal,1.0
POST_01294,2025-10-19 18:03:52.677712,2025-10-19,18,Sunday,6,Twitter,Video,Education,#StudyTips,19996,1569,2284,4727,187,3753,38517,8767,22.7614,normal,1.0
POST_00890,2025-10-19 20:00:17.677712,2025-10-19,20,Sunday,6,Twitter,Reel/Short,Travel,#Explore|#Adventure|#Backpacking|#Travel,15470,905,726,3703,185,595,18069,5519,30.544,normal,1.0
POST_01020,2025-10-19 21:32:20.677712,2025-10-19,21,Sunday,6,Instagram,Reel/Short,Tech,#DataScience|#CloudComputing,2189,283,441,295,25,182,4467,1044,23.3714,normal,1.0
POST_01377,2025-10-19 21:35:45.677712,2025-10-19,21,Sunday,6,LinkedIn,Video,Fashion,#Trendy|#Style|#StreetStyle|#Fashion,34206,2513,3720,8295,203,3286,38678,14731,38.0863,normal,1.0
POST_00540,2025-10-20 01:22:53.677712,2025-10-20,1,Monday,0,TikTok,Carousel,Fashion,#Trendy,5990,152,79,149,9,520,4438,389,8.7652,normal,1.0
POST_00850,2025-10-20 01:57:16.677712,2025-10-20,1,Monday,0,Instagram,Reel/Short,Travel,#Backpacking|#Adventure,51022,1582,661,937,370,1285,19177,3550,18.5118,normal,1.0
POST_00689,2025-10-20 03:34:39.677712,2025-10-20,3,Monday,0,TikTok,Reel/Short,Food,#Vegan,14939,454,129,218,83,162,4500,884,19.6444,normal,1.0
POST_00355,2025-10-20 12:44:36.677712,2025-10-20,12,Monday,0,Instagram,Video,Lifestyle,#Mindfulness|#SelfCare|#Goals|#DailyLife,21154,2200,1069,1266,132,2847,121197,4667,3.8508,normal,1.0
POST_00544,2025-10-20 21:35:30.677712,2025-10-20,21,Monday,0,Instagram,Reel/Short,Finance,#StockMarket|#Wealth,25906,3386,407,768,681,2475,31634,5242,16.5708,normal,1.0
POST_00476,2025-10-21 00:17:01.677712,2025-10-21,0,Tuesday,1,YouTube,Carousel,Health,#Wellness|#Fitness,30681,670,463,484,141,2940,28140,1758,6.2473,normal,1.0
POST_01964,2025-10-21 03:13:28.677712,2025-10-21,3,Tuesday,1,YouTube,Video,Education,#StudyTips|#Growth|#Skills|#Learning,14097,324,409,63,43,541,11966,839,7.0115,normal,1.0
POST_00699,2025-10-21 07:01:07.677712,2025-10-21,7,Tuesday,1,Twitter,Text,Food,#Delicious,5463,89,442,229,5,440,5926,765,12.9092,normal,1.0
POST_01177,2025-10-21 09:47:39.677712,2025-10-21,9,Tuesday,1,LinkedIn,Reel/Short,Sports,#Cricket|#Athletics|#FitLife|#Football,5908,412,1510,2231,28,435,8243,4181,50.7218,normal,1.0
POST_00174,2025-10-21 10:41:44.677712,2025-10-21,10,Tuesday,1,YouTube,Reel/Short,Travel,#Adventure,9070,576,659,1199,141,975,12164,2575,21.169,normal,1.0
POST_01029,2025-10-21 13:29:07.677712,2025-10-21,13,Tuesday,1,Instagram,Carousel,Tech,#OpenSource|#Python,4505,272,273,135,65,339,8641,745,8.6217,normal,1.0
POST_01625,2025-10-21 19:44:18.677712,2025-10-21,19,Tuesday,1,Twitter,Video,Health,#MentalHealth|#Wellness|#Yoga,10743,459,638,683,76,351,15173,1856,12.2323,normal,1.0
POST_00159,2025-10-21 21:50:29.677712,2025-10-21,21,Tuesday,1,YouTube,Text,Travel,#Wanderlust,2704,57,90,82,13,941,13511,242,1.7911,normal,1.0
POST_00617,2025-10-21 21:56:14.677712,2025-10-21,21,Tuesday,1,TikTok,Image,Lifestyle,#Goals|#DailyLife|#Motivation,5860,473,150,421,117,889,18616,1161,6.2366,normal,1.0
POST_01494,2025-10-22 03:41:16.677712,2025-10-22,3,Wednesday,2,LinkedIn,Text,Fashion,#Style|#Trendy|#OOTD|#StreetStyle,2774,26,113,51,3,61,1586,193,12.169,normal,1.0
POST_01197,2025-10-22 07:49:53.677712,2025-10-22,7,Wednesday,2,TikTok,Video,Lifestyle,#SelfCare|#Motivation,4241,315,93,482,44,747,9417,934,9.9182,normal,1.0
POST_00261,2025-10-22 09:38:14.677712,2025-10-22,9,Wednesday,2,LinkedIn,Reel/Short,Food,#Delicious|#Foodie|#Vegan|#Recipe,9745,871,876,980,65,278,12851,2792,21.7259,normal,1.0
POST_00801,2025-10-22 11:26:47.677712,2025-10-22,11,Wednesday,2,Twitter,Reel/Short,Fashion,#Fashion|#Trendy|#OOTD|#Style,26853,928,499,1717,184,2885,35211,3328,9.4516,normal,1.0
POST_01915,2025-10-22 15:58:54.677712,2025-10-22,15,Wednesday,2,Instagram,Carousel,Lifestyle,#Goals,14071,691,402,424,131,487,19966,1648,8.254,normal,1.0
POST_01721,2025-10-22 16:41:20.677712,2025-10-22,16,Wednesday,2,YouTube,Carousel,Fashion,#Style|#OOTD,26794,701,700,207,101,2831,34221,1709,4.994,normal,1.0
POST_01284,2025-10-22 17:00:55.677712,2025-10-22,17,Wednesday,2,Twitter,Reel/Short,Finance,#Investing|#StockMarket|#FinancialFreedom|#Wealth,3449,190,90,220,21,197,1703,521,30.5931,normal,1.0
POST_00236,2025-10-22 18:38:14.677712,2025-10-22,18,Wednesday,2,TikTok,Carousel,Sports,#Athletics,10918,916,190,1147,127,1501,18171,2380,13.0978,normal,1.0
POST_01484,2025-10-22 20:53:09.677712,2025-10-22,20,Wednesday,2,LinkedIn,Carousel,Health,#Fitness|#Yoga|#MentalHealth,16376,797,1270,702,86,2037,20202,2855,14.1323,normal,1.0
POST_00207,2025-10-22 21:27:57.677712,2025-10-22,21,Wednesday,2,YouTube,Reel/Short,Finance,#Wealth|#Investing|#StockMarket,4416,592,263,259,104,348,10689,1218,11.3949,normal,1.0
POST_00141,2025-10-22 22:05:33.677712,2025-10-22,22,Wednesday,2,Twitter,Text,Entertainment,#Entertainment,22165,550,648,1224,115,2022,31827,2537,7.9712,normal,1.0
POST_00450,2025-10-23 00:26:57.677712,2025-10-23,0,Thursday,3,YouTube,Text,Finance,#Investing|#FinancialFreedom|#Wealth,16554,218,1376,114,47,1181,12987,1755,13.5135,normal,1.0
POST_01498,2025-10-23 01:59:58.677712,2025-10-23,1,Thursday,3,LinkedIn,Reel/Short,Lifestyle,#Mindfulness|#Goals|#SelfCare,211506,2587,5424,3191,542,3355,36877,11744,31.8464,normal,1.0
POST_00752,2025-10-23 07:15:40.677712,2025-10-23,7,Thursday,3,LinkedIn,Image,Entertainment,#Trending,13096,552,501,287,74,574,6742,1414,20.973,normal,1.0
POST_01966,2025-10-23 07:55:48.677712,2025-10-23,7,Thursday,3,Twitter,Text,Education,#Learning|#StudyTips|#Growth|#Skills,10481,128,1517,138,14,1688,16531,1797,10.8705,normal,1.0
POST_00117,2025-10-23 12:01:22.677712,2025-10-23,12,Thursday,3,Instagram,Video,Finance,#FinancialFreedom|#Investing|#StockMarket,6789,879,382,1184,113,497,10492,2558,24.3805,normal,1.0
POST_00872,2025-10-23 13:35:22.677712,2025-10-23,13,Thursday,3,Instagram,Video,Food,#Recipe|#Foodie|#Delicious|#Vegan,7089,1128,396,138,151,1039,14489,1813,12.5129,normal,1.0
POST_01345,2025-10-23 13:56:57.677712,2025-10-23,13,Thursday,3,TikTok,Text,Finance,#Wealth|#FinancialFreedom,11439,638,610,296,66,3299,42439,1610,3.7937,normal,1.0
POST_01302,2025-10-23 14:29:31.677712,2025-10-23,14,Thursday,3,LinkedIn,Video,Food,#Recipe|#Vegan,72054,3119,5291,3970,184,5578,74414,12564,16.8839,normal,1.0
